Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bolivia,BOL,55.577,56.579,57.541,58.079,58.615,59.15,59.682,60.212,60.739,61.264,61.787,62.306,62.783,63.248,63.711,64.17,64.628,65.082,65.535,65.984,66.43,66.874,67.315,67.699,68.047,68.393,68.738
Brazil,BRA,73.922,74.69,75.444,76.181,76.903,77.61,78.302,79.048,79.781,80.496,81.192,81.553,81.88,82.203,82.521,82.834,83.143,83.448,83.749,84.044,84.335,84.631,84.923,85.209,85.492,85.77,86.042
Barbados,BRB,37.37,37.006,36.643,36.283,35.924,35.566,35.21,34.856,34.503,34.152,33.827,33.629,33.431,33.234,33.037,32.841,32.646,32.451,32.256,32.063,31.87,31.7,31.553,31.429,31.328,31.249,31.193
Brunei Darussalam,BRN,66.438,66.585,67.078,67.604,68.126,68.644,69.158,69.666,70.17,70.669,71.164,71.652,72.046,72.421,72.794,73.163,73.529,73.892,74.252,74.608,74.961,75.31,75.656,75.997,76.332,76.663,76.99
Bhutan,BTN,16.388,17.161,17.962,18.791,19.649,20.537,21.456,22.401,23.377,24.383,25.418,26.48,27.57,28.688,29.835,30.965,31.712,32.469,33.236,34.01,34.793,35.585,36.371,37.149,37.918,38.678,39.428
Botswana,BWA,41.933,45.292,46.443,47.286,48.133,48.981,49.83,50.677,51.525,52.372,53.219,54.062,54.57,55.029,55.488,55.944,56.4,57.928,59.444,60.937,62.412,63.865,64.768,65.572,66.368,67.155,67.933
Central African Republic,CAF,36.825,36.906,36.987,37.068,37.149,37.231,37.312,37.394,37.475,37.557,37.639,37.72,37.802,37.884,37.966,38.069,38.193,38.339,38.506,38.694,38.904,39.135,39.388,39.663,39.959,40.277,40.618
Canada,CAN,76.582,76.62,76.887,77.152,77.414,77.675,77.951,78.34,78.724,79.103,79.478,79.81,79.888,79.967,80.045,80.122,80.213,80.396,80.578,80.758,80.937,81.096,81.137,81.178,81.218,81.259,81.3
Central Europe and the Baltics,CEB,61.3918489105076,61.6033123693989,61.6934193330696,61.6652386515616,61.6367536015157,61.6092306125598,61.5872476575534,61.5631779443045,61.534018233525,61.5050697885992,61.4761873574983,61.4954533010999,61.5557607471992,61.6021556919924,61.6481810490578,61.7026922241905,61.7638954455271,61.8418454287671,61.9245405466205,61.9860468760089,62.0260650244198,62.0639344852314,62.0817769738868,62.0968137366794,62.1136451427738,62.1406832491248,62.1844790946334
Switzerland,CHE,73.926,73.869,73.815,73.762,73.708,73.654,73.6,73.546,73.492,73.438,73.383,73.375,73.401,73.427,73.452,73.478,73.504,73.53,73.556,73.581,73.607,73.631,73.653,73.674,73.696,73.718,73.739
Channel Islands,CHI,31.392,31.262,31.076,30.891,30.706,30.522,30.4,30.416,30.432,30.449,30.465,30.495,30.557,30.619,30.681,30.743,30.805,30.867,30.929,30.992,31.054,31.091,31.059,31.027,30.995,30.962,30.93
Chile,CHL,83.271,83.398,83.564,83.896,84.223,84.545,84.861,85.172,85.477,85.778,86.073,86.363,86.606,86.665,86.725,86.783,86.842,86.9,86.959,87.017,87.074,87.132,87.189,87.246,87.303,87.36,87.422
China,CHN,26.442,27.312,28.2,29.103,30.024,30.961,31.916,32.883,33.867,34.865,35.877,37.093,38.425,39.776,41.144,42.522,43.868,45.199,46.539,47.88,49.226,50.511,51.765,53.013,54.259,55.5,56.736
Cote d'Ivoire,CIV,39.345,39.716,40.088,40.461,40.835,41.21,41.587,41.964,42.342,42.741,43.155,43.568,43.983,44.399,44.817,45.234,45.652,46.071,46.491,46.91,47.33,47.751,48.172,48.593,49.014,49.444,49.881
Cameroon,CMR,39.657,40.235,40.817,41.399,41.985,42.573,43.164,43.755,44.348,44.944,45.542,46.139,46.738,47.338,47.94,48.541,49.143,49.746,50.35,50.954,51.559,52.164,52.769,53.373,53.976,54.578,55.179
"Congo, Dem. Rep.",COD,30.633,31.067,31.506,31.946,32.39,32.838,33.289,33.742,34.199,34.659,35.122,35.587,36.055,36.526,37,37.481,37.971,38.47,38.976,39.491,40.013,40.544,41.082,41.627,42.18,42.74,43.307
"Congo, Rep.",COG,54.324,54.743,55.162,55.58,55.996,56.413,56.832,57.299,57.766,58.231,58.695,59.156,59.617,60.076,60.533,60.988,61.441,61.893,62.346,62.8,63.256,63.712,64.169,64.627,65.085,65.543,66.001
Colombia,COL,69.481,69.949,70.415,70.874,71.328,71.777,72.223,72.662,73.098,73.53,73.957,74.379,74.797,75.211,75.62,76.024,76.423,76.816,77.204,77.587,77.964,78.335,78.701,79.061,79.415,79.764,80.108
Comoros,COM,27.869,28.366,28.435,28.39,28.346,28.301,28.257,28.213,28.168,28.124,28.08,28.036,27.992,27.947,27.903,27.875,27.863,27.867,27.886,27.921,27.973,28.04,28.123,28.223,28.338,28.47,28.619
Cabo Verde,CPV,44.12,45.044,45.973,46.902,47.834,48.768,49.704,50.637,51.572,52.505,53.435,54.291,55.146,55.997,56.846,57.689,58.529,59.363,60.194,61.016,61.821,62.322,62.821,63.317,63.81,64.3,64.784
Costa Rica,CRI,50.003,50.917,51.832,52.743,53.653,54.561,55.467,56.367,57.264,58.157,59.052,60.41,61.753,63.08,64.388,65.672,66.935,68.174,69.39,70.575,71.736,72.868,73.946,74.97,75.941,76.862,77.735
Caribbean small states,CSS,48.7971746079503,48.9735501359455,49.1193250356832,49.2582778931053,49.3948370869722,49.5338948296421,49.6759505905599,49.819311736739,49.9647380768505,50.1102857869458,50.2480679137205,50.3260306048273,50.3635482103236,50.3837843326937,50.4015888688483,50.4093290062448,50.4165023932242,50.4224331319741,50.4274883210849,50.4303998712286,50.4340574675408,50.456239675626,50.5180252982433,50.5913146585053,50.6801361784138,50.7846840272758,50.9063925920291
Cuba,CUB,73.364,73.676,73.827,73.977,74.127,74.277,74.426,74.618,74.855,75.089,75.323,75.555,75.785,75.947,76.041,76.134,76.227,76.32,76.413,76.505,76.597,76.689,76.781,76.827,76.861,76.896,76.93
Curacao,CUW,84.678,84.947,85.444,86.224,86.969,87.68,88.358,89.002,89.615,90.198,90.752,91.011,90.894,90.775,90.655,90.534,90.411,90.287,90.161,90.034,89.905,89.775,89.654,89.544,89.443,89.352,89.272
Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cyprus,CYP,66.776,67.188,67.598,67.792,67.915,68.038,68.161,68.283,68.405,68.527,68.648,68.769,68.694,68.553,68.41,68.268,68.125,67.982,67.839,67.695,67.551,67.406,67.261,67.137,67.031,66.946,66.881
Czech Republic,CZE,75.22,75.158,75.03,74.901,74.772,74.643,74.513,74.382,74.251,74.12,73.988,73.877,73.809,73.74,73.671,73.602,73.533,73.463,73.394,73.324,73.255,73.185,73.197,73.29,73.384,73.477,73.57
Germany,DEU,73.118,73.269,73.36,73.497,73.71,73.922,74.133,74.342,74.551,74.758,74.965,75.17,75.374,75.577,75.779,75.98,76.179,76.378,76.575,76.771,76.966,77.16,77.17,77.18,77.19,77.2,77.224
Djibouti,DJI,75.957,76.114,76.161,76.207,76.254,76.3,76.347,76.393,76.439,76.485,76.532,76.578,76.624,76.67,76.716,76.761,76.807,76.853,76.899,76.944,76.999,77.064,77.138,77.222,77.314,77.417,77.528
Dominica,DMA,63.079,64.482,64.569,64.656,64.744,64.831,64.918,65.005,65.092,65.179,65.265,65.382,65.689,65.994,66.299,66.601,66.903,67.203,67.502,67.799,68.094,68.389,68.685,68.982,69.28,69.579,69.88
Denmark,DNK,84.843,84.871,84.898,84.925,84.952,84.979,85.006,85.033,85.06,85.086,85.1,85.15,85.25,85.36,85.566,85.856,86.098,86.293,86.487,86.654,86.795,86.957,87.142,87.292,87.41,87.526,87.642
Dominican Republic,DOM,55.226,55.497,55.767,56.037,56.752,57.598,58.441,59.276,60.107,60.933,61.753,62.565,63.371,64.605,66.003,67.37,68.71,70.02,71.3,72.542,73.753,74.827,75.802,76.749,77.67,78.566,79.436
Algeria,DZA,52.085,52.871,53.657,54.439,55.219,55.997,56.774,57.544,58.313,59.118,59.919,60.712,61.501,62.284,63.061,63.83,64.593,65.348,66.097,66.826,67.54,68.236,68.915,69.576,70.221,70.848,71.459
East Asia & Pacific (excluding high income),EAP,28.103169543017,28.8790420231942,29.6800330260142,30.4938361760155,31.3216398171561,32.1624175921093,33.0182730516944,33.8831571300003,34.7609852997659,35.6503045293381,36.5644769422517,37.5934092674138,38.7027798017989,39.8243696991426,40.9567866623299,42.0933206381776,43.2051826161765,44.3048819692,45.4093489255857,46.5142109071066,47.6203825388378,48.661738238371,49.6752439318617,50.681910529234,51.6858376202661,52.6853247515958,53.6815997421951
Early-demographic dividend,EAR,34.939119909998,35.3081380796406,35.6611298200178,36.0078914900914,36.3535857408402,36.6943527133112,37.0283258666785,37.356825892697,37.6825174824368,38.0055606661638,38.3342453056608,38.6571345670423,39.018557582244,39.3789959535492,39.7411986539471,40.107634522046,40.4775436614698,40.8498618022064,41.2298644618401,41.6138002597087,41.9998806600881,42.3785708834652,42.7590233392676,43.1435909274362,43.5319846032163,43.9299787727318,44.3277678165673
East Asia & Pacific,EAS,33.9576141185588,34.6492527249478,35.3499146824844,36.0655247942244,36.8003639761696,37.5500649265319,38.3095734890069,39.0655605746512,39.8355494930591,40.6142900918816,41.4207562572884,42.4127351947751,43.4971586555345,44.5825188029723,45.6708389175943,46.7554261803421,47.8093416872284,48.8443110824392,49.885701739957,50.9174409629207,51.945337432181,52.8768815884615,53.7740094965433,54.6636501438447,55.5523754469137,56.4384209579409,57.3214591494905
Europe & Central Asia (excluding high income),ECA,63.028384169192,63.1791547798475,63.2701209865139,63.3312351152764,63.3998291175227,63.4835570620421,63.5553894714941,63.6247373963957,63.6967295163203,63.7749097705326,63.8626339823967,63.9800242523363,64.1261119783374,64.3027677625969,64.4867641240969,64.6756389939107,64.866123203861,65.065459482385,65.2656426124793,65.4568880363916,65.6360804143785,65.7988996726298,65.9534615690012,66.1080182314676,66.2655378880993,66.4280326081937,66.5962263281727
Europe & Central Asia,ECS,67.590511641657,67.7221057375582,67.8295245348051,67.927442703703,68.0372084764992,68.1540600818806,68.264199642865,68.3709909271214,68.478467946867,68.5931355107761,68.7214382467052,68.8780439120185,69.0793025783354,69.2895252901018,69.5012251642765,69.7151611098742,69.9282515029246,70.1429533649737,70.3546551775139,70.5551553888405,70.7487588168112,70.9245512049277,71.0991515759323,71.2712652158374,71.4432171619628,71.6219247199629,71.8055944841346
Ecuador,ECU,55.09,55.709,56.226,56.74,57.254,57.766,58.277,58.785,59.291,59.796,60.299,60.799,61.118,61.316,61.514,61.711,61.907,62.104,62.3,62.495,62.69,62.851,62.988,63.125,63.261,63.398,63.534
"Egypt, Arab Rep.",EGY,43.478,43.345,43.212,43.079,42.946,42.814,42.681,42.658,42.704,42.75,42.797,42.843,42.889,42.935,42.981,43.027,43.073,43.078,43.058,43.039,43.019,43,42.946,42.893,42.839,42.785,42.732
Euro area,EMU,71.2200201807131,71.3830732988442,71.5320082694295,71.6961984885841,71.8785750721823,72.0563338849661,72.2322751123822,72.4058954968194,72.5775174150931,72.7537152632056,72.9421663791117,73.1472450926866,73.3907787154966,73.6413861696234,73.8868795366417,74.1299702142857,74.3678319507545,74.5966281749744,74.823148025173,75.0508906255318,75.2816981830028,75.509022879626,75.7236934634696,75.9291216578059,76.1281387053755,76.3397020364095,76.5543043808563
Eritrea,ERI,18.905,19.59,20.294,21.015,21.755,22.514,23.293,24.088,24.903,25.735,26.587,27.455,28.341,29.244,30.164,31.099,32.051,33.017,34,34.585,35.175,35.771,,,,,
Spain,ESP,75.351,75.528,75.61,75.692,75.774,75.856,75.938,76.019,76.1,76.181,76.262,76.343,76.533,76.778,77.022,77.263,77.502,77.74,77.976,78.21,78.442,78.673,78.902,79.133,79.366,79.602,79.84
Estonia,EST,71.231,71.046,70.86,70.674,70.487,70.3,70.111,69.923,69.733,69.543,69.368,69.242,69.116,68.989,68.862,68.735,68.607,68.479,68.351,68.223,68.094,67.965,67.974,68.122,68.269,68.416,68.563
Ethiopia,ETH,12.621,12.867,13.116,13.37,13.627,13.827,14.006,14.186,14.369,14.553,14.74,14.927,15.118,15.31,15.504,15.7,15.899,16.116,16.51,16.91,17.319,17.735,18.16,18.575,18.998,19.428,19.866
European Union,EUU,69.3689438749086,69.559145722582,69.7159908373219,69.8457596989455,69.9861021379748,70.126879295454,70.2668311941402,70.4015207920999,70.5331307565974,70.6697284137353,70.8257115525123,71.0122218287133,71.240383197793,71.4627479488955,71.68110569536,71.8999307913216,72.1166486134496,72.3363986401414,72.55503097159,72.7634112253781,72.9723262372457,73.1680576728495,73.3568881759925,73.5394058583083,73.7178487591467,73.9081841044899,74.1050270851854
Fragile and conflict affected situations,FCS,34.0513516867393,34.4745641912338,34.8667623532321,35.2242875892546,35.5213114149057,35.8269378660662,36.1377168190442,36.4722968963657,36.8173565077581,37.1664325622774,37.5127740191584,37.9482136856299,38.3677158173586,38.7813608115732,39.1839713453849,39.5889483295115,39.9959546124495,40.3340016093267,40.7571108974315,41.1864926004275,41.6301793877303,42.0392248608118,42.4371746920102,42.840224825355,43.2409912434745,43.6789961384569,44.1021124039759
Finland,FIN,79.367,79.843,80.128,80.409,80.688,80.963,81.223,81.466,81.707,81.946,82.183,82.368,82.503,82.638,82.772,82.905,83.037,83.168,83.299,83.429,83.77,84.313,84.841,85.125,85.175,85.225,85.275
Fiji,FJI,41.611,42.381,43.156,43.933,44.713,45.496,46.282,46.732,47.123,47.515,47.908,48.3,48.692,49.085,49.479,49.871,50.264,50.657,51.146,51.658,52.171,52.683,53.196,53.706,54.216,54.726,55.235
France,FRA,74.056,74.229,74.401,74.572,74.743,74.912,75.082,75.25,75.417,75.614,75.871,76.127,76.38,76.632,76.883,77.13,77.377,77.621,77.868,78.117,78.369,78.622,78.878,79.135,79.394,79.655,79.917
Faroe Islands,FRO,30.594,31.154,31.872,32.596,33.33,34.071,34.822,35.354,35.654,35.86,36.337,37.175,38.022,38.714,39.247,39.781,40.147,40.341,40.536,40.731,40.926,41.088,41.225,41.363,41.501,41.638,41.777
"Micronesia, Fed. Sts.",FSM,25.818,25.752,25.686,25.62,25.554,25.068,24.473,23.889,23.314,22.749,22.33,22.33,22.33,22.33,22.33,22.33,22.324,22.317,22.311,22.305,22.298,22.305,22.324,22.355,22.399,22.456,22.526
Gabon,GAB,69.143,70.462,71.749,72.999,73.921,74.797,75.654,76.49,77.306,78.102,78.879,79.633,80.368,81.083,81.778,82.452,83.107,83.742,84.359,84.955,85.533,86.092,86.634,87.156,87.651,88.118,88.559
United Kingdom,GBR,78.14,78.112,78.172,78.232,78.293,78.353,78.413,78.472,78.532,78.591,78.651,78.751,79.047,79.339,79.629,79.915,80.199,80.479,80.757,81.031,81.302,81.57,81.837,82.102,82.365,82.626,82.886
Georgia,GEO,55.038,54.799,54.559,54.32,54.08,53.841,53.6,53.36,53.12,52.879,52.638,52.398,52.441,52.83,53.218,53.605,53.992,54.379,54.765,55.15,55.535,55.919,56.303,56.685,57.067,57.448,57.837
Ghana,GHA,36.441,37.17,37.905,38.644,39.39,40.14,40.896,41.654,42.418,43.184,43.929,44.601,45.275,45.951,46.63,47.308,47.988,48.669,49.351,50.031,50.713,51.394,52.073,52.748,53.419,54.086,54.749
Gibraltar,GIB,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Guinea,GIN,28.026,28.312,28.601,28.89,29.182,29.475,29.77,30.052,30.323,30.595,30.869,31.144,31.42,31.698,31.977,32.257,32.539,32.822,33.106,33.391,33.678,33.966,34.255,34.545,34.836,35.141,35.46
"Gambia, The",GMB,38.312,39.41,40.52,41.586,42.472,43.362,44.258,45.155,46.057,46.961,47.868,48.775,49.683,50.555,51.288,52.02,52.751,53.481,54.211,54.937,55.662,56.384,57.105,57.82,58.528,59.228,59.918
Guinea-Bissau,GNB,30.83,32.39,33.271,33.635,34.002,34.371,34.742,35.114,35.488,35.865,36.243,36.622,37.004,37.387,37.772,38.157,38.545,38.934,39.325,39.716,40.111,40.508,40.908,41.31,41.715,42.123,42.533
Equatorial Guinea,GNQ,34.745,35.748,36.766,37.792,38.831,40.494,42.187,43.893,45.616,47.35,49.092,50.832,52.573,54.307,56.033,57.74,59.431,61.1,62.745,64.358,65.94,67.488,69,69.544,70.083,70.616,71.138
Greece,GRC,71.467,71.635,71.757,71.878,71.998,72.119,72.239,72.358,72.478,72.597,72.716,72.913,73.303,73.689,74.073,74.452,74.827,75.199,75.568,75.932,76.292,76.649,77.004,77.355,77.702,78.046,78.387
Grenada,GRD,33.427,33.503,33.744,33.985,34.227,34.47,34.714,34.959,35.204,35.45,35.698,35.919,35.913,35.907,35.901,35.895,35.889,35.883,35.877,35.871,35.865,35.859,35.869,35.896,35.938,35.997,36.072
Greenland,GRL,79.698,80.033,80.301,80.503,80.703,80.902,81.1,81.226,81.351,81.476,81.6,81.849,82.095,82.338,82.58,82.858,83.172,83.482,83.787,84.087,84.383,84.755,85.2,85.551,85.813,86.071,86.326
Guatemala,GTM,41.992,42.323,42.655,42.987,43.32,43.654,43.989,44.323,44.659,44.995,45.332,45.668,46.005,46.318,46.616,46.913,47.21,47.508,47.807,48.104,48.403,48.701,49,49.311,49.634,49.971,50.319
Guam,GUM,90.796,91.061,91.32,91.571,91.816,92.055,92.287,92.513,92.733,92.946,93.129,93.233,93.334,93.435,93.534,93.631,93.727,93.822,93.916,94.008,94.099,94.188,94.277,94.364,94.449,94.534,94.617
Guyana,GUY,29.583,29.493,29.404,29.315,29.226,29.137,29.048,28.959,28.871,28.782,28.694,28.606,28.518,28.307,28.064,27.822,27.582,27.343,27.105,26.869,26.634,26.4,26.4,26.4,26.414,26.441,26.482
High income,HIC,74.2603306442061,74.5331774494987,74.7394505088471,74.989908259665,75.2435123536542,75.5298701759786,75.7699322578608,75.9979426472745,76.2254965298844,76.4512681249,76.6729639997514,77.0109843519053,77.4005043258832,77.7659902460658,78.120404008579,78.4622475636815,78.7772590924,79.0752912998808,79.3651661969998,79.6440986131728,79.9155955032324,80.121242530739,80.2943860258341,80.4625126196037,80.6297511961333,80.8022128299287,80.9765986304945
"Hong Kong SAR, China",HKG,99.517,99.832,99.979,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Honduras,HND,40.46,40.953,41.448,41.943,42.441,42.941,43.442,43.944,44.447,44.952,45.458,45.964,46.61,47.267,47.927,48.585,49.245,49.905,50.566,51.225,51.885,52.543,53.202,53.858,54.514,55.165,55.813
Heavily indebted poor countries (HIPC),HPC,25.4118900271845,25.8358020085054,26.2470470989734,26.6284923893516,26.9422616035612,27.2431830663789,27.5370260493218,27.842723838693,28.1368970163387,28.4306089564344,28.7255217571738,29.0543568985805,29.3934168264949,29.7457436413758,30.0957305007046,30.4643116349724,30.8420047625479,31.1569943863051,31.5917493717592,32.0291695824784,32.470697615945,32.9153280280704,33.3419289066773,33.7688407539185,34.201294634656,34.641468801197,35.0890803997938
Croatia,HRV,51.037,51.357,51.588,51.818,52.048,52.279,52.509,52.739,52.968,53.198,53.428,53.642,53.81,53.979,54.147,54.315,54.483,54.651,54.819,54.987,55.155,55.322,55.506,55.706,55.923,56.155,56.403
Haiti,HTI,28.51,29.641,30.8,31.39,31.987,32.59,33.2,33.792,34.389,34.992,35.6,37.251,38.935,40.645,41.679,42.638,43.604,44.574,45.551,46.528,47.509,48.492,49.477,50.46,51.444,52.427,53.396
Hungary,HUN,65.838,65.713,65.587,65.461,65.335,65.209,65.083,64.956,64.829,64.702,64.575,64.67,65.081,65.489,65.896,66.365,66.895,67.421,67.943,68.46,68.911,69.358,69.678,69.953,70.227,70.5,70.779
IBRD only,IBD,38.387039358204,38.8887679727392,39.3918304517718,39.8985021751029,40.4089238547667,40.9197226487854,41.4316287570206,41.9490674049622,42.4747527043073,43.0058718603402,43.5469512956056,44.138116207248,44.7850466829126,45.4408546997852,46.1027673734394,46.7684375173367,47.4218421277232,48.0695868177141,48.7202561919839,49.3727075122974,50.027162795415,50.6596359795293,51.2855477366696,51.9109918077332,52.5368678326598,53.1603647855854,53.7823647380138
IDA & IBRD total,IBT,35.926057579521,36.3815918377882,36.8333819714986,37.2842556566787,37.7310628899496,38.1770147513533,38.6235026209462,39.0749123769169,39.5305687516698,39.9876971231895,40.4522209174995,40.9684637080091,41.5309403679864,42.0999473978241,42.6730263132,43.2505554439387,43.8189810333325,44.3761432784706,44.947620150126,45.5205696818196,46.0944897411156,46.6442741438672,47.1845596565483,47.724081013109,48.2641268035898,48.8075193598832,49.3495993246101
IDA total,IDA,25.7334765843223,26.1103159808653,26.4734273476592,26.8235348172523,27.1427753319643,27.4614004049671,27.7829532167309,28.1102345065649,28.4313558240813,28.7457656773964,29.0684389075126,29.4564887082636,29.8634591477088,30.2750076555515,30.6904407379762,31.1191304177199,31.5569787935048,31.9723903712679,32.4451702353194,32.9204656505416,33.3999186507852,33.8486283045195,34.2773241440978,34.7080606561449,35.1461678232291,35.6131168201913,36.0858796908057
